Alpha2,Member State,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Reduction [%],2030 targets,
AT,Austria,78.4,79.2,80.1,92.1,84.3,82.1,79.4,79.8,76.2,78.5,79.5,81.9,78.6,79.8,36,58.944,
BE,Belgium,145.7,153.6,148.9,145.6,133.6,123.1,120.4,120.4,114.7,119,117.7,117.4,117.9,116.7,35,94.64,
BG,Bulgaria,100,72.9,57.9,62.7,59.8,65.1,60.1,54.9,58,61.3,58.8,61.1,57.3,56,0,62.7,
HR,Croatia,31.4,22.5,25.6,29.7,27.8,27.4,25.6,24.3,23.5,23.9,24,24.7,23.5,23.6,7,27.621,
CY,Cyprus,5.6,7,8.3,9.2,9.5,9.2,8.6,7.9,8.3,8.3,8.8,9,8.8,8.8,24,6.992,
CZ,Czechia,198.9,157.8,150.5,148.8,140.6,139,135.1,129.5,127.4,128.8,130.3,131.2,129.3,123.3,14,127.968,
DK,Denmark,70.9,78.8,71.2,66.8,63.5,58.3,53.7,55.5,51.2,48.6,50.6,48.3,48.1,44.2,39,40.748,
EE,Estonia,41,20.3,17.5,19.3,21.2,21.3,20.1,22,21.2,18.1,19.8,21.1,20.2,14.7,13,16.791,
FI,Finland,71.2,71.8,70.3,69.9,75.7,67.9,62.5,62.9,58.7,55.1,58.1,55.3,56.3,53.1,39,42.639,
FR,France,544,536.6,548.4,551.2,508.2,483.4,484.8,485.8,454.6,457.7,460,463.5,444.6,436,37,347.256,
DE,Germany,1248.6,1120.6,1042.6,992.5,941.8,917.3,923.3,940.4,901.3,904.3,908,892.1,855.9,809.8,38,615.35,
GR,Greece,103.3,109.3,126.5,136.4,118.5,115.6,112.3,102.7,99.3,95.5,91.8,95.6,92.3,85.6,16,114.576,
HU,Hungary,94.8,77.2,74.9,76.7,66.1,64.4,61,58.1,58.4,61.5,62.3,64.7,64.7,64.4,7,71.331,
IE,Ireland,54.4,58.7,68.5,70.3,61.9,57.8,58.8,58.6,58.1,60.4,62.5,62.1,62.5,59.8,30,49.21,
IT,Italy,518.7,532,555.5,589.1,516.5,503.6,484.2,449.2,427.9,440.4,437.7,432.7,428.5,418.3,33,394.697,
LV,Latvia,25.9,12.5,10.1,11,11.8,11,10.9,10.8,10.7,10.7,10.7,10.8,11.3,11.1,6,10.34,
LT,Lithuania,47.8,22.2,19.4,22.7,20.7,21.3,21.3,20,20,20.3,20.3,20.5,20.2,20.4,9,20.657,
LU,Luxembourg,12.7,10.1,9.7,13,12.2,12.1,11.8,11.3,10.8,10.3,10.1,10.3,10.6,10.7,40,7.8,
MT,Malta,2.6,2.7,2.8,3,3,3,3.2,2.9,2.9,2.2,1.9,2.1,2,2.2,19,2.43,
NL,Netherlands,220.5,230.3,218.1,213,212.1,197.8,193.5,193.8,186,193.2,193.6,191,186.8,180.7,36,136.32,
PL,Poland,475.9,447.3,396.6,405.2,413.5,412.5,405,401.6,388.9,390.8,400.4,414.8,411.9,390.7,7,376.836,
PT,Portugal,58.9,68.8,81.9,85.9,68.9,67.5,65.6,63.7,63.6,67.8,65.9,71,67.3,63.6,17,71.297,
RO,Romania,266.4,187.4,141.7,149.1,118.3,126.4,123.9,115,115.2,116.4,113.5,117,118.2,113.9,2,146.118,
SK,Slovakia,73.5,53,48.7,50.4,45.4,44.6,42.4,41.9,39.9,40.8,41.2,42.3,42.2,40,12,44.352,
SI,Slovenia,18.6,18.7,18.6,20.4,19.6,19.5,18.9,18.2,16.6,16.8,17.6,17.7,17.5,17.1,15,17.34,
ES,Spain,290,329.4,388.2,442.1,357.9,357.6,350.3,323.5,325.6,337,325.5,338.7,333.3,314.5,26,327.154,
SE,Sweden,71.2,73.2,68.1,66.7,64.6,60.2,57.4,55.7,53.8,54,53.6,53,52.2,50.9,40,40.02,
GB,United Kingdom,791.4,744.8,708.1,686.2,604.9,559.8,576.6,562.7,522.7,505.3,480.5,469.6,462.9,449.2,3,665.614,
